epi_week,disease,number_of_cases
2012-W04,Cholera,0
2012-W04,Dengue Fever,50
2012-W04,Dengue Haemorrhagic Fever,2
2012-W04,Diphtheria,0
2012-W04,Encephalitis,1
2012-W04,Haemophilus influenzae type b,0
2012-W04,"Hand, Foot Mouth Disease",372
2012-W04,Legionellosis,1
2012-W04,Malaria,3
2012-W04,Measles,0
2012-W04,Melioidosis,1
2012-W04,Meningococcal Infection,0
2012-W04,Mumps,8
2012-W04,Nipah virus infection,0
2012-W04,Paratyphoid,1
2012-W04,Pertussis,0
2012-W04,Plague,0
2012-W04,Pneumococcal Disease (invasive),2
2012-W04,Poliomyelitis,0
2012-W04,Rubella,2
2012-W04,Salmonellosis(non-enteric fevers),12
2012-W04,SARS,0
2012-W04,Typhoid,1
2012-W04,Viral Hepatitis A,3
2012-W04,Viral Hepatitis E,2
2012-W04,Yellow Fever,0
2012-W05,Acute Viral hepatitis B,1
2012-W05,Acute Viral hepatitis C,0
2012-W05,Avian Influenza,0
2012-W05,Campylobacterenterosis,8
2012-W05,Chikungunya Fever,0
2012-W05,Cholera,0
2012-W05,Dengue Fever,84
2012-W05,Dengue Haemorrhagic Fever,1
2012-W05,Diphtheria,0
2012-W05,Encephalitis,0
2012-W05,Haemophilus influenzae type b,0
2012-W05,"Hand, Foot Mouth Disease",444
2012-W05,Legionellosis,0
2012-W05,Malaria,1
2012-W05,Measles,2
2012-W05,Melioidosis,0
2012-W05,Meningococcal Infection,0
2012-W05,Mumps,12
2012-W05,Nipah virus infection,0
2012-W05,Paratyphoid,3
2012-W05,Pertussis,1
2012-W05,Plague,0
2012-W05,Pneumococcal Disease (invasive),5
2012-W05,Poliomyelitis,0
2012-W05,Rubella,0
2012-W05,Salmonellosis(non-enteric fevers),37
2012-W05,SARS,0
2012-W05,Typhoid,5
2012-W05,Viral Hepatitis A,2
2012-W05,Viral Hepatitis E,0
2012-W05,Yellow Fever,0
2012-W06,Acute Viral hepatitis B,1
2012-W06,Acute Viral hepatitis C,0
2012-W06,Avian Influenza,0
2012-W06,Campylobacterenterosis,5
2012-W06,Chikungunya Fever,0
2012-W06,Cholera,0
2012-W06,Dengue Fever,87
2012-W06,Dengue Haemorrhagic Fever,0
2012-W06,Diphtheria,0
2012-W06,Encephalitis,2
2012-W06,Haemophilus influenzae type b,0
2012-W06,"Hand, Foot Mouth Disease",683
2012-W06,Legionellosis,1
2012-W06,Malaria,2
2012-W06,Measles,4
2012-W06,Melioidosis,1
2012-W06,Meningococcal Infection,0
2012-W06,Mumps,12
2012-W06,Nipah virus infection,0
2012-W06,Paratyphoid,2
2012-W06,Pertussis,0
2012-W06,Plague,0
2012-W06,Pneumococcal Disease (invasive),4
2012-W06,Poliomyelitis,0
2012-W06,Rubella,2
2012-W06,Salmonellosis(non-enteric fevers),40
2012-W06,SARS,0
2012-W06,Typhoid,0
2012-W06,Viral Hepatitis A,0
2012-W06,Viral Hepatitis E,4
2012-W06,Yellow Fever,0
2012-W07,Acute Viral hepatitis B,0
2012-W07,Acute Viral hepatitis C,0
2012-W07,Avian Influenza,0
2012-W07,Campylobacterenterosis,8
2012-W07,Chikungunya Fever,0
2012-W07,Cholera,0
2012-W07,Dengue Fever,65
2012-W07,Dengue Haemorrhagic Fever,0
2012-W07,Diphtheria,0
2012-W07,Encephalitis,0
2012-W07,Haemophilus influenzae type b,0
2012-W07,"Hand, Foot Mouth Disease",810
2012-W07,Legionellosis,0
2012-W07,Malaria,1
2012-W07,Measles,1
2012-W07,Melioidosis,0
2012-W07,Meningococcal Infection,0
2012-W07,Mumps,12
2012-W07,Nipah virus infection,0
2012-W07,Paratyphoid,1
2012-W07,Pertussis,0
2012-W07,Plague,0
2012-W07,Pneumococcal Disease (invasive),3
2012-W07,Poliomyelitis,0
2012-W07,Rubella,4
2012-W07,Salmonellosis(non-enteric fevers),29
2012-W07,SARS,0
2012-W07,Typhoid,2
2012-W07,Viral Hepatitis A,0
2012-W07,Viral Hepatitis E,2
2012-W07,Yellow Fever,0
2012-W08,Acute Viral hepatitis B,0
2012-W08,Acute Viral hepatitis C,0
2012-W08,Avian Influenza,0
2012-W08,Campylobacterenterosis,8
2012-W08,Chikungunya Fever,1
2012-W08,Cholera,0
2012-W08,Dengue Fever,50
2012-W08,Dengue Haemorrhagic Fever,1
2012-W08,Diphtheria,0
2012-W08,Encephalitis,0
2012-W08,Haemophilus influenzae type b,0
2012-W08,"Hand, Foot Mouth Disease",989
2012-W08,Legionellosis,0
2012-W08,Malaria,0
2012-W08,Measles,2
2012-W08,Melioidosis,1
2012-W08,Meningococcal Infection,0
2012-W08,Mumps,18
2012-W08,Nipah virus infection,0
2012-W08,Paratyphoid,4
2012-W08,Pertussis,0
2012-W08,Plague,0
2012-W08,Pneumococcal Disease (invasive),3
2012-W08,Poliomyelitis,0
2012-W08,Rubella,0
2012-W08,Salmonellosis(non-enteric fevers),12
2012-W08,SARS,0
2012-W08,Typhoid,3
2012-W08,Viral Hepatitis A,0
2012-W08,Viral Hepatitis E,3
2012-W08,Yellow Fever,0
2012-W09,Acute Viral hepatitis B,2
2012-W09,Acute Viral hepatitis C,0
2012-W09,Avian Influenza,0
2012-W09,Campylobacterenterosis,6
2012-W09,Chikungunya Fever,1
2012-W09,Cholera,0
2012-W09,Dengue Fever,55
2012-W09,Dengue Haemorrhagic Fever,0
2012-W09,Diphtheria,0
2012-W09,Encephalitis,0
2012-W09,Haemophilus influenzae type b,0
2012-W09,"Hand, Foot Mouth Disease",1115
2012-W09,Legionellosis,1
2012-W09,Malaria,0
2012-W09,Measles,1
2012-W09,Melioidosis,1
2012-W09,Meningococcal Infection,0
2012-W09,Mumps,10
2012-W09,Nipah virus infection,0
2012-W09,Paratyphoid,4
2012-W09,Pertussis,3
2012-W09,Plague,0
2012-W09,Pneumococcal Disease (invasive),2
2012-W09,Poliomyelitis,0
2012-W09,Rubella,2
2012-W09,Salmonellosis(non-enteric fevers),27
2012-W09,SARS,0
2012-W09,Typhoid,1
2012-W09,Viral Hepatitis A,2
2012-W09,Viral Hepatitis E,0
2012-W09,Yellow Fever,0
2012-W10,Acute Viral hepatitis B,3
2012-W10,Acute Viral hepatitis C,1
2012-W10,Avian Influenza,0
2012-W10,Campylobacterenterosis,12
2012-W10,Chikungunya Fever,2
2012-W10,Cholera,0
2012-W10,Dengue Fever,45
2012-W10,Dengue Haemorrhagic Fever,1
2012-W10,Diphtheria,0
2012-W10,Encephalitis,1
2012-W10,Haemophilus influenzae type b,0
2012-W10,"Hand, Foot Mouth Disease",1139
2012-W10,Legionellosis,1
2012-W10,Malaria,4
2012-W10,Measles,0
2012-W10,Melioidosis,0
2012-W10,Meningococcal Infection,0
2012-W10,Mumps,16
2012-W10,Nipah virus infection,0
2012-W10,Paratyphoid,2
2012-W10,Pertussis,0
2012-W10,Plague,0
2012-W10,Pneumococcal Disease (invasive),9
2012-W10,Poliomyelitis,0
2012-W10,Rubella,0
2012-W10,Salmonellosis(non-enteric fevers),28
2012-W10,SARS,0
2012-W10,Typhoid,1
2012-W10,Viral Hepatitis A,2
2012-W10,Viral Hepatitis E,3
2012-W10,Yellow Fever,0
2012-W11,Acute Viral hepatitis B,0
2012-W11,Acute Viral hepatitis C,0
2012-W11,Avian Influenza,0
2012-W11,Campylobacterenterosis,10
2012-W11,Chikungunya Fever,0
2012-W11,Cholera,0
2012-W11,Dengue Fever,64
2012-W11,Dengue Haemorrhagic Fever,0
2012-W11,Diphtheria,0
2012-W11,Encephalitis,1
2012-W11,Haemophilus influenzae type b,0
2012-W11,"Hand, Foot Mouth Disease",1011
2012-W11,Legionellosis,1
2012-W11,Malaria,2
2012-W11,Measles,1
2012-W11,Melioidosis,1
2012-W11,Meningococcal Infection,0
2012-W11,Mumps,8
2012-W11,Nipah virus infection,0
2012-W11,Paratyphoid,2
2012-W11,Pertussis,0
2012-W11,Plague,0
2012-W11,Pneumococcal Disease (invasive),2
2012-W11,Poliomyelitis,0
2012-W11,Rubella,1
2012-W11,Salmonellosis(non-enteric fevers),36
2012-W11,SARS,0
2012-W11,Typhoid,1
2012-W11,Viral Hepatitis A,1
2012-W11,Viral Hepatitis E,2
2012-W11,Yellow Fever,0
2012-W12,Acute Viral hepatitis B,1
2012-W12,Acute Viral hepatitis C,0
2012-W12,Avian Influenza,0
2012-W12,Campylobacterenterosis,5
2012-W12,Chikungunya Fever,0
2012-W12,Cholera,0
2012-W12,Dengue Fever,72
2012-W12,Dengue Haemorrhagic Fever,1
2012-W12,Diphtheria,0
2012-W12,Encephalitis,2
2012-W12,Haemophilus influenzae type b,0
2012-W12,"Hand, Foot Mouth Disease",1018
2012-W12,Legionellosis,1
2012-W12,Malaria,2
2012-W12,Measles,1
2012-W12,Melioidosis,0
2012-W12,Meningococcal Infection,0
2012-W12,Mumps,11
2012-W12,Nipah virus infection,0
2012-W12,Paratyphoid,1
2012-W12,Pertussis,3
2012-W12,Plague,0
2012-W12,Pneumococcal Disease (invasive),3
2012-W12,Poliomyelitis,0
2012-W12,Rubella,0
2012-W12,Salmonellosis(non-enteric fevers),26
2012-W12,SARS,0
2012-W12,Typhoid,1
2012-W12,Viral Hepatitis A,0
2012-W12,Viral Hepatitis E,2
2012-W12,Yellow Fever,0
2012-W13,Acute Viral hepatitis B,2
2012-W13,Acute Viral hepatitis C,0
2012-W13,Avian Influenza,0
2012-W13,Campylobacterenterosis,14
2012-W13,Chikungunya Fever,0
2012-W13,Cholera,0
2012-W13,Dengue Fever,48
2012-W13,Dengue Haemorrhagic Fever,0
2012-W13,Diphtheria,0
2012-W13,Encephalitis,0
2012-W13,Haemophilus influenzae type b,0
2012-W13,"Hand, Foot Mouth Disease",1017
2012-W13,Legionellosis,2
2012-W13,Malaria,4
2012-W13,Measles,0
2012-W13,Melioidosis,0
2012-W13,Meningococcal Infection,0
2012-W13,Mumps,15
2012-W13,Nipah virus infection,0
2012-W13,Paratyphoid,0
2012-W13,Pertussis,1
2012-W13,Plague,0
2012-W13,Pneumococcal Disease (invasive),0
2012-W13,Poliomyelitis,0
2012-W13,Rubella,2
2012-W13,Salmonellosis(non-enteric fevers),27
2012-W13,SARS,0
2012-W13,Typhoid,2
2012-W13,Viral Hepatitis A,1
2012-W13,Viral Hepatitis E,2
2012-W13,Yellow Fever,0
2012-W14,Acute Viral hepatitis B,0
2012-W14,Acute Viral hepatitis C,0
2012-W14,Avian Influenza,0
2012-W14,Campylobacterenterosis,2
2012-W14,Chikungunya Fever,0
2012-W14,Cholera,0
2012-W14,Dengue Fever,52
2012-W14,Dengue Haemorrhagic Fever,0
2012-W14,Diphtheria,0
2012-W14,Encephalitis,0
2012-W14,Haemophilus influenzae type b,0
2012-W14,"Hand, Foot Mouth Disease",952
2012-W14,Legionellosis,0
2012-W14,Malaria,2
2012-W14,Measles,0
2012-W14,Melioidosis,0
2012-W14,Meningococcal Infection,0
2012-W14,Mumps,6
2012-W14,Nipah virus infection,0
2012-W14,Paratyphoid,0
2012-W14,Pertussis,1
2012-W14,Plague,0
2012-W14,Pneumococcal Disease (invasive),1
2012-W14,Poliomyelitis,0
2012-W14,Rubella,2
2012-W14,Salmonellosis(non-enteric fevers),27
2012-W14,SARS,0
2012-W14,Typhoid,1
2012-W14,Viral Hepatitis A,0
2012-W14,Viral Hepatitis E,2
2012-W14,Yellow Fever,0
2012-W15,Acute Viral hepatitis B,0
2012-W15,Acute Viral hepatitis C,0
2012-W15,Avian Influenza,0
2012-W15,Campylobacterenterosis,12
2012-W15,Chikungunya Fever,1
2012-W15,Cholera,0
2012-W15,Dengue Fever,81
2012-W15,Dengue Haemorrhagic Fever,1
2012-W15,Diphtheria,0
2012-W15,Encephalitis,0
2012-W15,Haemophilus influenzae type b,0
2012-W15,"Hand, Foot Mouth Disease",1167
2012-W15,Legionellosis,2
2012-W15,Malaria,2
2012-W15,Measles,0
2012-W15,Melioidosis,1
2012-W15,Meningococcal Infection,0
2012-W15,Mumps,13
2012-W15,Nipah virus infection,0
2012-W15,Paratyphoid,2
2012-W15,Pertussis,0
2012-W15,Plague,0
2012-W15,Pneumococcal Disease (invasive),1
2012-W15,Poliomyelitis,0
2012-W15,Rubella,2
2012-W15,Salmonellosis(non-enteric fevers),25
2012-W15,SARS,0
2012-W15,Typhoid,2
2012-W15,Viral Hepatitis A,0
2012-W15,Viral Hepatitis E,0
2012-W15,Yellow Fever,0
2012-W16,Acute Viral hepatitis B,0
2012-W16,Acute Viral hepatitis C,0
2012-W16,Avian Influenza,0
2012-W16,Campylobacterenterosis,6
2012-W16,Chikungunya Fever,1
2012-W16,Cholera,0
2012-W16,Dengue Fever,77
2012-W16,Dengue Haemorrhagic Fever,0
2012-W16,Diphtheria,0
2012-W16,Encephalitis,0
2012-W16,Haemophilus influenzae type b,0
2012-W16,"Hand, Foot Mouth Disease",1387
2012-W16,Legionellosis,1
2012-W16,Malaria,4
2012-W16,Measles,0
2012-W16,Melioidosis,1
2012-W16,Meningococcal Infection,0
2012-W16,Mumps,15
2012-W16,Nipah virus infection,0
2012-W16,Paratyphoid,0
2012-W16,Pertussis,0
2012-W16,Plague,0
2012-W16,Pneumococcal Disease (invasive),2
2012-W16,Poliomyelitis,0
2012-W16,Rubella,2
2012-W16,Salmonellosis(non-enteric fevers),36
2012-W16,SARS,0
2012-W16,Typhoid,0
2012-W16,Viral Hepatitis A,4
2012-W16,Viral Hepatitis E,2
2012-W16,Yellow Fever,0
2012-W17,Acute Viral hepatitis B,0
2012-W17,Acute Viral hepatitis C,0
2012-W17,Avian Influenza,0
2012-W17,Campylobacterenterosis,14
2012-W17,Chikungunya Fever,0
2012-W17,Cholera,0
2012-W17,Dengue Fever,64
2012-W17,Dengue Haemorrhagic Fever,0
2012-W17,Diphtheria,0
2012-W17,Encephalitis,1
2012-W17,Haemophilus influenzae type b,0
2012-W17,"Hand, Foot Mouth Disease",1581
2012-W17,Legionellosis,0
2012-W17,Malaria,2
2012-W17,Measles,1
2012-W17,Melioidosis,1
2012-W17,Meningococcal Infection,0
2012-W17,Mumps,13
2012-W17,Nipah virus infection,0
2012-W17,Paratyphoid,2
2012-W17,Pertussis,0
2012-W17,Plague,0
2012-W17,Pneumococcal Disease (invasive),7
2012-W17,Poliomyelitis,0
2012-W17,Rubella,3
2012-W17,Salmonellosis(non-enteric fevers),27
2012-W17,SARS,0
2012-W17,Typhoid,1
2012-W17,Viral Hepatitis A,1
2012-W17,Viral Hepatitis E,1
2012-W17,Yellow Fever,0
2012-W18,Acute Viral hepatitis B,3
2012-W18,Acute Viral hepatitis C,0
2012-W18,Avian Influenza,0
2012-W18,Campylobacterenterosis,2
2012-W18,Chikungunya Fever,0
2012-W18,Cholera,0
2012-W18,Dengue Fever,86
2012-W18,Dengue Haemorrhagic Fever,2
2012-W18,Diphtheria,0
2012-W18,Encephalitis,0
2012-W18,Haemophilus influenzae type b,0
2012-W18,"Hand, Foot Mouth Disease",1462
2012-W18,Legionellosis,0
2012-W18,Malaria,2
2012-W18,Measles,1
2012-W18,Melioidosis,1
2012-W18,Meningococcal Infection,0
2012-W18,Mumps,13
2012-W18,Nipah virus infection,0
2012-W18,Paratyphoid,1
2012-W18,Pertussis,0
2012-W18,Plague,0
2012-W18,Pneumococcal Disease (invasive),3
2012-W18,Poliomyelitis,0
2012-W18,Rubella,2
2012-W18,Salmonellosis(non-enteric fevers),21
2012-W18,SARS,0
2012-W18,Typhoid,3
2012-W18,Viral Hepatitis A,0
2012-W18,Viral Hepatitis E,3
2012-W18,Yellow Fever,0
2012-W19,Acute Viral hepatitis B,0
2012-W19,Acute Viral hepatitis C,0
2012-W19,Avian Influenza,0
2012-W19,Campylobacterenterosis,12
2012-W19,Chikungunya Fever,1
2012-W19,Cholera,0
2012-W19,Dengue Fever,96
2012-W19,Dengue Haemorrhagic Fever,1
2012-W19,Diphtheria,0
2012-W19,Encephalitis,0
2012-W19,Haemophilus influenzae type b,0
2012-W19,"Hand, Foot Mouth Disease",1607
2012-W19,Legionellosis,0
2012-W19,Malaria,1
2012-W19,Measles,1
2012-W19,Melioidosis,0
2012-W19,Meningococcal Infection,0
2012-W19,Mumps,19
2012-W19,Nipah virus infection,0
2012-W19,Paratyphoid,0
2012-W19,Pertussis,0
2012-W19,Plague,0
2012-W19,Pneumococcal Disease (invasive),1
2012-W19,Poliomyelitis,0
2012-W19,Rubella,2
2012-W19,Salmonellosis(non-enteric fevers),34
2012-W19,SARS,0
2012-W19,Typhoid,2
2012-W19,Viral Hepatitis A,1
2012-W19,Viral Hepatitis E,5
2012-W19,Yellow Fever,0
2012-W20,Acute Viral hepatitis B,1
2012-W20,Acute Viral hepatitis C,0
2012-W20,Avian Influenza,0
2012-W20,Campylobacterenterosis,7
2012-W20,Chikungunya Fever,0
2012-W20,Cholera,0
2012-W20,Dengue Fever,80
2012-W20,Dengue Haemorrhagic Fever,0
2012-W20,Diphtheria,0
2012-W20,Encephalitis,0
2012-W20,Haemophilus influenzae type b,0
2012-W20,"Hand, Foot Mouth Disease",1682
2012-W20,Legionellosis,0
2012-W20,Malaria,2
2012-W20,Measles,0
2012-W20,Melioidosis,2
2012-W20,Meningococcal Infection,0
2012-W20,Mumps,11
2012-W20,Nipah virus infection,0
2012-W20,Paratyphoid,3
2012-W20,Pertussis,1
2012-W20,Plague,0
2012-W20,Pneumococcal Disease (invasive),2
2012-W20,Poliomyelitis,0
2012-W20,Rubella,0
2012-W20,Salmonellosis(non-enteric fevers),28
2012-W20,SARS,0
2012-W20,Typhoid,2
2012-W20,Viral Hepatitis A,2
2012-W20,Viral Hepatitis E,4
2012-W20,Yellow Fever,0
2012-W21,Acute Viral hepatitis B,1
2012-W21,Acute Viral hepatitis C,0
2012-W21,Avian Influenza,0
2012-W21,Campylobacterenterosis,6
2012-W21,Chikungunya Fever,0
2012-W21,Cholera,1
2012-W21,Dengue Fever,80
2012-W21,Dengue Haemorrhagic Fever,0
2012-W21,Diphtheria,0
2012-W21,Encephalitis,0
2012-W21,Haemophilus influenzae type b,0
2012-W21,"Hand, Foot Mouth Disease",1458
2012-W21,Legionellosis,0
2012-W21,Malaria,1
2012-W21,Measles,0
2012-W21,Melioidosis,0
2012-W21,Meningococcal Infection,0
2012-W21,Mumps,10
2012-W21,Nipah virus infection,0
2012-W21,Paratyphoid,0
2012-W21,Pertussis,0
2012-W21,Plague,0
2012-W21,Pneumococcal Disease (invasive),3
2012-W21,Poliomyelitis,0
2012-W21,Rubella,1
2012-W21,Salmonellosis(non-enteric fevers),32
2012-W21,SARS,0
2012-W21,Typhoid,3
2012-W21,Viral Hepatitis A,2
2012-W21,Viral Hepatitis E,2
2012-W21,Yellow Fever,0
2012-W22,Acute Viral hepatitis B,3
2012-W22,Acute Viral hepatitis C,0
2012-W22,Avian Influenza,0
2012-W22,Campylobacterenterosis,7
2012-W22,Chikungunya Fever,0
2012-W22,Cholera,0
2012-W22,Dengue Fever,81
2012-W22,Dengue Haemorrhagic Fever,0
2012-W22,Diphtheria,0
2012-W22,Encephalitis,0
2012-W22,Haemophilus influenzae type b,0
2012-W22,"Hand, Foot Mouth Disease",1105
2012-W22,Legionellosis,1
2012-W22,Malaria,2
2012-W22,Measles,1
2012-W22,Melioidosis,1
2012-W22,Meningococcal Infection,0
2012-W22,Mumps,5
2012-W22,Nipah virus infection,0
2012-W22,Paratyphoid,1
2012-W22,Pertussis,1
2012-W22,Plague,0
2012-W22,Pneumococcal Disease (invasive),3
2012-W22,Poliomyelitis,0
2012-W22,Rubella,1
2012-W22,Salmonellosis(non-enteric fevers),30
2012-W22,SARS,0
2012-W22,Typhoid,1
2012-W22,Viral Hepatitis A,3
2012-W22,Viral Hepatitis E,2
2012-W22,Yellow Fever,0
2012-W23,Acute Viral hepatitis B,2
2012-W23,Acute Viral hepatitis C,0
2012-W23,Avian Influenza,0
2012-W23,Campylobacterenterosis,7
2012-W23,Chikungunya Fever,0
2012-W23,Cholera,0
2012-W23,Dengue Fever,99
2012-W23,Dengue Haemorrhagic Fever,1
2012-W23,Diphtheria,0
2012-W23,Encephalitis,0
2012-W23,Haemophilus influenzae type b,0
2012-W23,"Hand, Foot Mouth Disease",981
2012-W23,Legionellosis,0
2012-W23,Malaria,3
2012-W23,Measles,0
2012-W23,Melioidosis,0
2012-W23,Meningococcal Infection,0
2012-W23,Mumps,9
2012-W23,Nipah virus infection,0
2012-W23,Paratyphoid,1
2012-W23,Pertussis,1
2012-W23,Plague,0
2012-W23,Pneumococcal Disease (invasive),2
2012-W23,Poliomyelitis,0
2012-W23,Rubella,1
2012-W23,Salmonellosis(non-enteric fevers),37
2012-W23,SARS,0
2012-W23,Typhoid,2
2012-W23,Viral Hepatitis A,2
2012-W23,Viral Hepatitis E,0
2012-W23,Yellow Fever,0
2012-W24,Acute Viral hepatitis B,0
2012-W24,Acute Viral hepatitis C,0
2012-W24,Avian Influenza,0
2012-W24,Campylobacterenterosis,5
2012-W24,Chikungunya Fever,0
2012-W24,Cholera,0
2012-W24,Dengue Fever,87
2012-W24,Dengue Haemorrhagic Fever,1
2012-W24,Diphtheria,0
2012-W24,Encephalitis,0
2012-W24,Haemophilus influenzae type b,0
2012-W24,"Hand, Foot Mouth Disease",906
2012-W24,Legionellosis,2
2012-W24,Malaria,3
2012-W24,Measles,1
2012-W24,Melioidosis,1
2012-W24,Meningococcal Infection,0
2012-W24,Mumps,11
2012-W24,Nipah virus infection,0
2012-W24,Paratyphoid,0
2012-W24,Pertussis,0
2012-W24,Plague,0
2012-W24,Pneumococcal Disease (invasive),6
2012-W24,Poliomyelitis,0
2012-W24,Rubella,1
2012-W24,Salmonellosis(non-enteric fevers),27
2012-W24,SARS,0
2012-W24,Typhoid,2
2012-W24,Viral Hepatitis A,2
2012-W24,Viral Hepatitis E,3
2012-W24,Yellow Fever,0
2012-W25,Acute Viral hepatitis B,0
2012-W25,Acute Viral hepatitis C,0
2012-W25,Avian Influenza,0
2012-W25,Campylobacterenterosis,11
2012-W25,Chikungunya Fever,0
2012-W25,Cholera,0
2012-W25,Dengue Fever,128
2012-W25,Dengue Haemorrhagic Fever,1
2012-W25,Diphtheria,0
2012-W25,Encephalitis,1
2012-W25,Haemophilus influenzae type b,0
2012-W25,"Hand, Foot Mouth Disease",794
2012-W25,Legionellosis,1
2012-W25,Malaria,5
2012-W25,Measles,1
2012-W25,Melioidosis,0
2012-W25,Meningococcal Infection,0
2012-W25,Mumps,7
2012-W25,Nipah virus infection,0
2012-W25,Paratyphoid,4
2012-W25,Pertussis,1
2012-W25,Plague,0
2012-W25,Pneumococcal Disease (invasive),4
2012-W25,Poliomyelitis,0
2012-W25,Rubella,0
2012-W25,Salmonellosis(non-enteric fevers),32
2012-W25,SARS,0
2012-W25,Typhoid,2
2012-W25,Viral Hepatitis A,2
2012-W25,Viral Hepatitis E,0
2012-W25,Yellow Fever,0
2012-W26,Acute Viral hepatitis B,1
2012-W26,Acute Viral hepatitis C,0
2012-W26,Avian Influenza,0
2012-W26,Campylobacterenterosis,4
2012-W26,Chikungunya Fever,0
2012-W26,Cholera,0
2012-W26,Dengue Fever,151
2012-W26,Dengue Haemorrhagic Fever,0
2012-W26,Diphtheria,0
2012-W26,Encephalitis,0
2012-W26,Haemophilus influenzae type b,0
2012-W26,"Hand, Foot Mouth Disease",728
2012-W26,Legionellosis,0
2012-W26,Malaria,7
2012-W26,Measles,0
2012-W26,Melioidosis,0
2012-W26,Meningococcal Infection,0
2012-W26,Mumps,11
2012-W26,Nipah virus infection,0
2012-W26,Paratyphoid,3
2012-W26,Pertussis,0
2012-W26,Plague,0
2012-W26,Pneumococcal Disease (invasive),2
2012-W26,Poliomyelitis,0
2012-W26,Rubella,2
2012-W26,Salmonellosis(non-enteric fevers),23
2012-W26,SARS,0
2012-W26,Typhoid,1
2012-W26,Viral Hepatitis A,0
2012-W26,Viral Hepatitis E,2
2012-W26,Yellow Fever,0
2012-W27,Acute Viral hepatitis B,1
2012-W27,Acute Viral hepatitis C,0
2012-W27,Avian Influenza,0
2012-W27,Campylobacterenterosis,9
2012-W27,Chikungunya Fever,0
2012-W27,Cholera,0
2012-W27,Dengue Fever,140
2012-W27,Dengue Haemorrhagic Fever,0
2012-W27,Diphtheria,0
2012-W27,Encephalitis,0
2012-W27,Haemophilus influenzae type b,0
2012-W27,"Hand, Foot Mouth Disease",686
2012-W27,Legionellosis,0
2012-W27,Malaria,4
2012-W27,Measles,1
2012-W27,Melioidosis,0
